 time            v(inp)          v(out)         
 0.00000000e+00  9.00000000e-01  8.99999376e-01 
 1.10000000e-11  9.00000000e-01  8.99999376e-01 
 2.20000000e-11  9.00000000e-01  8.99999376e-01 
 4.40000000e-11  9.00000000e-01  8.99999376e-01 
 8.80000000e-11  9.00000000e-01  8.99999376e-01 
 1.76000000e-10  9.00000000e-01  8.99999376e-01 
 3.52000000e-10  9.00000000e-01  8.99999376e-01 
 7.04000000e-10  9.00000000e-01  8.99999376e-01 
 1.40800000e-09  9.00000000e-01  8.99999376e-01 
 2.50800000e-09  9.00000000e-01  8.99999376e-01 
 3.60800000e-09  9.00000000e-01  8.99999376e-01 
 4.70800000e-09  9.00000000e-01  8.99999376e-01 
 5.80800000e-09  9.00000000e-01  8.99999376e-01 
 6.90800000e-09  9.00000000e-01  8.99999376e-01 
 8.00800000e-09  9.00000000e-01  8.99999376e-01 
 9.10800000e-09  9.00000000e-01  8.99999376e-01 
 1.02080000e-08  9.00000000e-01  8.99999376e-01 
 1.13080000e-08  9.00000000e-01  8.99999376e-01 
 1.24080000e-08  9.00000000e-01  8.99999376e-01 
 1.35080000e-08  9.00000000e-01  8.99999376e-01 
 1.46080000e-08  9.00000000e-01  8.99999376e-01 
 1.57080000e-08  9.00000000e-01  8.99999376e-01 
 1.68080000e-08  9.00000000e-01  8.99999376e-01 
 1.79080000e-08  9.00000000e-01  8.99999376e-01 
 1.90080000e-08  9.00000000e-01  8.99999376e-01 
 2.01080000e-08  9.00000000e-01  8.99999376e-01 
 2.12080000e-08  9.00000000e-01  8.99999376e-01 
 2.23080000e-08  9.00000000e-01  8.99999376e-01 
 2.34080000e-08  9.00000000e-01  8.99999376e-01 
 2.45080000e-08  9.00000000e-01  8.99999376e-01 
 2.56080000e-08  9.00000000e-01  8.99999376e-01 
 2.67080000e-08  9.00000000e-01  8.99999376e-01 
 2.78080000e-08  9.00000000e-01  8.99999376e-01 
 2.89080000e-08  9.00000000e-01  8.99999376e-01 
 3.00080000e-08  9.00000000e-01  8.99999376e-01 
 3.11080000e-08  9.00000000e-01  8.99999376e-01 
 3.22080000e-08  9.00000000e-01  8.99999376e-01 
 3.33080000e-08  9.00000000e-01  8.99999376e-01 
 3.44080000e-08  9.00000000e-01  8.99999376e-01 
 3.55080000e-08  9.00000000e-01  8.99999376e-01 
 3.66080000e-08  9.00000000e-01  8.99999376e-01 
 3.77080000e-08  9.00000000e-01  8.99999376e-01 
 3.88080000e-08  9.00000000e-01  8.99999376e-01 
 3.99080000e-08  9.00000000e-01  8.99999376e-01 
 4.10080000e-08  9.00000000e-01  8.99999376e-01 
 4.21080000e-08  9.00000000e-01  8.99999376e-01 
 4.32080000e-08  9.00000000e-01  8.99999376e-01 
 4.43080000e-08  9.00000000e-01  8.99999376e-01 
 4.54080000e-08  9.00000000e-01  8.99999376e-01 
 4.65080000e-08  9.00000000e-01  8.99999376e-01 
 4.76080000e-08  9.00000000e-01  8.99999376e-01 
 4.87080000e-08  9.00000000e-01  8.99999376e-01 
 4.98080000e-08  9.00000000e-01  8.99999376e-01 
 5.09080000e-08  9.00000000e-01  8.99999376e-01 
 5.20080000e-08  9.00000000e-01  8.99999376e-01 
 5.31080000e-08  9.00000000e-01  8.99999376e-01 
 5.42080000e-08  9.00000000e-01  8.99999376e-01 
 5.53080000e-08  9.00000000e-01  8.99999376e-01 
 5.64080000e-08  9.00000000e-01  8.99999376e-01 
 5.75080000e-08  9.00000000e-01  8.99999376e-01 
 5.86080000e-08  9.00000000e-01  8.99999376e-01 
 5.97080000e-08  9.00000000e-01  8.99999376e-01 
 6.08080000e-08  9.00000000e-01  8.99999376e-01 
 6.19080000e-08  9.00000000e-01  8.99999376e-01 
 6.30080000e-08  9.00000000e-01  8.99999376e-01 
 6.41080000e-08  9.00000000e-01  8.99999376e-01 
 6.52080000e-08  9.00000000e-01  8.99999376e-01 
 6.63080000e-08  9.00000000e-01  8.99999376e-01 
 6.74080000e-08  9.00000000e-01  8.99999376e-01 
 6.85080000e-08  9.00000000e-01  8.99999376e-01 
 6.96080000e-08  9.00000000e-01  8.99999376e-01 
 7.07080000e-08  9.00000000e-01  8.99999376e-01 
 7.18080000e-08  9.00000000e-01  8.99999376e-01 
 7.29080000e-08  9.00000000e-01  8.99999376e-01 
 7.40080000e-08  9.00000000e-01  8.99999376e-01 
 7.51080000e-08  9.00000000e-01  8.99999376e-01 
 7.62080000e-08  9.00000000e-01  8.99999376e-01 
 7.73080000e-08  9.00000000e-01  8.99999376e-01 
 7.84080000e-08  9.00000000e-01  8.99999376e-01 
 7.95080000e-08  9.00000000e-01  8.99999376e-01 
 8.06080000e-08  9.00000000e-01  8.99999376e-01 
 8.17080000e-08  9.00000000e-01  8.99999376e-01 
 8.28080000e-08  9.00000000e-01  8.99999376e-01 
 8.39080000e-08  9.00000000e-01  8.99999376e-01 
 8.50080000e-08  9.00000000e-01  8.99999376e-01 
 8.61080000e-08  9.00000000e-01  8.99999376e-01 
 8.72080000e-08  9.00000000e-01  8.99999376e-01 
 8.83080000e-08  9.00000000e-01  8.99999376e-01 
 8.94080000e-08  9.00000000e-01  8.99999376e-01 
 9.05080000e-08  9.00000000e-01  8.99999376e-01 
 9.16080000e-08  9.00000000e-01  8.99999376e-01 
 9.27080000e-08  9.00000000e-01  8.99999376e-01 
 9.38080000e-08  9.00000000e-01  8.99999376e-01 
 9.49080000e-08  9.00000000e-01  8.99999376e-01 
 9.60080000e-08  9.00000000e-01  8.99999376e-01 
 9.71080000e-08  9.00000000e-01  8.99999376e-01 
 9.82080000e-08  9.00000000e-01  8.99999376e-01 
 9.93080000e-08  9.00000000e-01  8.99999376e-01 
 1.00000000e-07  9.00000000e-01  8.99999376e-01 
 1.00001000e-07  9.01000000e-01  9.00000234e-01 
 1.00003000e-07  9.03000000e-01  9.00001957e-01 
 1.00007000e-07  9.07000000e-01  9.00005422e-01 
 1.00010000e-07  9.10000000e-01  9.00008039e-01 
 1.00010800e-07  9.10000000e-01  9.00008040e-01 
 1.00012400e-07  9.10000000e-01  9.00008043e-01 
 1.00015600e-07  9.10000000e-01  9.00008049e-01 
 1.00022000e-07  9.10000000e-01  9.00008063e-01 
 1.00034800e-07  9.10000000e-01  9.00008097e-01 
 1.00060400e-07  9.10000000e-01  9.00008186e-01 
 1.00111600e-07  9.10000000e-01  9.00008446e-01 
 1.00214000e-07  9.10000000e-01  9.00009236e-01 
 1.00418800e-07  9.10000000e-01  9.00011621e-01 
 1.00828400e-07  9.10000000e-01  9.00018487e-01 
 1.01647600e-07  9.10000000e-01  9.00037347e-01 
 1.02747600e-07  9.10000000e-01  9.00069217e-01 
 1.03847600e-07  9.10000000e-01  9.00105221e-01 
 1.04947600e-07  9.10000000e-01  9.00143555e-01 
 1.06047600e-07  9.10000000e-01  9.00183764e-01 
 1.07147600e-07  9.10000000e-01  9.00225716e-01 
 1.08247600e-07  9.10000000e-01  9.00269287e-01 
 1.09347600e-07  9.10000000e-01  9.00314371e-01 
 1.10447600e-07  9.10000000e-01  9.00360861e-01 
 1.11547600e-07  9.10000000e-01  9.00408660e-01 
 1.12647600e-07  9.10000000e-01  9.00457674e-01 
 1.13747600e-07  9.10000000e-01  9.00507816e-01 
 1.14847600e-07  9.10000000e-01  9.00559002e-01 
 1.15947600e-07  9.10000000e-01  9.00611153e-01 
 1.17047600e-07  9.10000000e-01  9.00664195e-01 
 1.18147600e-07  9.10000000e-01  9.00718057e-01 
 1.19247600e-07  9.10000000e-01  9.00772672e-01 
 1.20347600e-07  9.10000000e-01  9.00827976e-01 
 1.21447600e-07  9.10000000e-01  9.00883911e-01 
 1.22547600e-07  9.10000000e-01  9.00940418e-01 
 1.23647600e-07  9.10000000e-01  9.00997445e-01 
 1.24747600e-07  9.10000000e-01  9.01054939e-01 
 1.25847600e-07  9.10000000e-01  9.01112853e-01 
 1.26947600e-07  9.10000000e-01  9.01171142e-01 
 1.28047600e-07  9.10000000e-01  9.01229761e-01 
 1.29147600e-07  9.10000000e-01  9.01288669e-01 
 1.30247600e-07  9.10000000e-01  9.01347828e-01 
 1.31347600e-07  9.10000000e-01  9.01407202e-01 
 1.32447600e-07  9.10000000e-01  9.01466754e-01 
 1.33547600e-07  9.10000000e-01  9.01526452e-01 
 1.34647600e-07  9.10000000e-01  9.01586265e-01 
 1.35747600e-07  9.10000000e-01  9.01646162e-01 
 1.36847600e-07  9.10000000e-01  9.01706117e-01 
 1.37947600e-07  9.10000000e-01  9.01766103e-01 
 1.39047600e-07  9.10000000e-01  9.01826094e-01 
 1.40147600e-07  9.10000000e-01  9.01886067e-01 
 1.41247600e-07  9.10000000e-01  9.01945999e-01 
 1.42347600e-07  9.10000000e-01  9.02005869e-01 
 1.43447600e-07  9.10000000e-01  9.02065657e-01 
 1.44547600e-07  9.10000000e-01  9.02125345e-01 
 1.45647600e-07  9.10000000e-01  9.02184913e-01 
 1.46747600e-07  9.10000000e-01  9.02244347e-01 
 1.47847600e-07  9.10000000e-01  9.02303629e-01 
 1.48947600e-07  9.10000000e-01  9.02362745e-01 
 1.50047600e-07  9.10000000e-01  9.02421680e-01 
 1.51147600e-07  9.10000000e-01  9.02480421e-01 
 1.52247600e-07  9.10000000e-01  9.02538956e-01 
 1.53347600e-07  9.10000000e-01  9.02597274e-01 
 1.54447600e-07  9.10000000e-01  9.02655362e-01 
 1.55547600e-07  9.10000000e-01  9.02713210e-01 
 1.56647600e-07  9.10000000e-01  9.02770810e-01 
 1.57747600e-07  9.10000000e-01  9.02828152e-01 
 1.58847600e-07  9.10000000e-01  9.02885226e-01 
 1.59947600e-07  9.10000000e-01  9.02942026e-01 
 1.61047600e-07  9.10000000e-01  9.02998544e-01 
 1.62147600e-07  9.10000000e-01  9.03054773e-01 
 1.63247600e-07  9.10000000e-01  9.03110706e-01 
 1.64347600e-07  9.10000000e-01  9.03166338e-01 
 1.65447600e-07  9.10000000e-01  9.03221663e-01 
 1.66547600e-07  9.10000000e-01  9.03276676e-01 
 1.67647600e-07  9.10000000e-01  9.03331372e-01 
 1.68747600e-07  9.10000000e-01  9.03385746e-01 
 1.69847600e-07  9.10000000e-01  9.03439795e-01 
 1.70947600e-07  9.10000000e-01  9.03493515e-01 
 1.72047600e-07  9.10000000e-01  9.03546903e-01 
 1.73147600e-07  9.10000000e-01  9.03599955e-01 
 1.74247600e-07  9.10000000e-01  9.03652669e-01 
 1.75347600e-07  9.10000000e-01  9.03705042e-01 
 1.76447600e-07  9.10000000e-01  9.03757073e-01 
 1.77547600e-07  9.10000000e-01  9.03808758e-01 
 1.78647600e-07  9.10000000e-01  9.03860097e-01 
 1.79747600e-07  9.10000000e-01  9.03911088e-01 
 1.80847600e-07  9.10000000e-01  9.03961730e-01 
 1.81947600e-07  9.10000000e-01  9.04012021e-01 
 1.83047600e-07  9.10000000e-01  9.04061960e-01 
 1.84147600e-07  9.10000000e-01  9.04111548e-01 
 1.85247600e-07  9.10000000e-01  9.04160782e-01 
 1.86347600e-07  9.10000000e-01  9.04209664e-01 
 1.87447600e-07  9.10000000e-01  9.04258193e-01 
 1.88547600e-07  9.10000000e-01  9.04306368e-01 
 1.89647600e-07  9.10000000e-01  9.04354190e-01 
 1.90747600e-07  9.10000000e-01  9.04401659e-01 
 1.91847600e-07  9.10000000e-01  9.04448775e-01 
 1.92947600e-07  9.10000000e-01  9.04495539e-01 
 1.94047600e-07  9.10000000e-01  9.04541951e-01 
 1.95147600e-07  9.10000000e-01  9.04588012e-01 
 1.96247600e-07  9.10000000e-01  9.04633723e-01 
 1.97347600e-07  9.10000000e-01  9.04679085e-01 
 1.98447600e-07  9.10000000e-01  9.04724098e-01 
 1.99547600e-07  9.10000000e-01  9.04768764e-01 
 2.00647600e-07  9.10000000e-01  9.04813083e-01 
 2.01747600e-07  9.10000000e-01  9.04857057e-01 
 2.02847600e-07  9.10000000e-01  9.04900688e-01 
 2.03947600e-07  9.10000000e-01  9.04943975e-01 
 2.05047600e-07  9.10000000e-01  9.04986922e-01 
 2.06147600e-07  9.10000000e-01  9.05029529e-01 
 2.07247600e-07  9.10000000e-01  9.05071798e-01 
 2.08347600e-07  9.10000000e-01  9.05113731e-01 
 2.09447600e-07  9.10000000e-01  9.05155328e-01 
 2.10547600e-07  9.10000000e-01  9.05196592e-01 
 2.11647600e-07  9.10000000e-01  9.05237524e-01 
 2.12747600e-07  9.10000000e-01  9.05278127e-01 
 2.13847600e-07  9.10000000e-01  9.05318401e-01 
 2.14947600e-07  9.10000000e-01  9.05358349e-01 
 2.16047600e-07  9.10000000e-01  9.05397972e-01 
 2.17147600e-07  9.10000000e-01  9.05437273e-01 
 2.18247600e-07  9.10000000e-01  9.05476252e-01 
 2.19347600e-07  9.10000000e-01  9.05514913e-01 
 2.20447600e-07  9.10000000e-01  9.05553258e-01 
 2.21547600e-07  9.10000000e-01  9.05591287e-01 
 2.22647600e-07  9.10000000e-01  9.05629003e-01 
 2.23747600e-07  9.10000000e-01  9.05666408e-01 
 2.24847600e-07  9.10000000e-01  9.05703504e-01 
 2.25947600e-07  9.10000000e-01  9.05740293e-01 
 2.27047600e-07  9.10000000e-01  9.05776777e-01 
