 time            v(in)           v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.50000000e-11  0.00000000e+00  0.00000000e+00 
 3.00000000e-11  0.00000000e+00  0.00000000e+00 
 6.00000000e-11  0.00000000e+00  0.00000000e+00 
 1.20000000e-10  0.00000000e+00  0.00000000e+00 
 2.40000000e-10  0.00000000e+00  0.00000000e+00 
 4.80000000e-10  0.00000000e+00  0.00000000e+00 
 9.60000000e-10  0.00000000e+00  0.00000000e+00 
 1.92000000e-09  0.00000000e+00  0.00000000e+00 
 3.42000000e-09  0.00000000e+00  0.00000000e+00 
 4.92000000e-09  0.00000000e+00  0.00000000e+00 
 6.42000000e-09  0.00000000e+00  0.00000000e+00 
 7.92000000e-09  0.00000000e+00  0.00000000e+00 
 9.42000000e-09  0.00000000e+00  0.00000000e+00 
 1.09200000e-08  0.00000000e+00  0.00000000e+00 
 1.24200000e-08  0.00000000e+00  0.00000000e+00 
 1.39200000e-08  0.00000000e+00  0.00000000e+00 
 1.54200000e-08  0.00000000e+00  0.00000000e+00 
 1.69200000e-08  0.00000000e+00  0.00000000e+00 
 1.84200000e-08  0.00000000e+00  0.00000000e+00 
 1.99200000e-08  0.00000000e+00  0.00000000e+00 
 2.14200000e-08  0.00000000e+00  0.00000000e+00 
 2.29200000e-08  0.00000000e+00  0.00000000e+00 
 2.44200000e-08  0.00000000e+00  0.00000000e+00 
 2.59200000e-08  0.00000000e+00  0.00000000e+00 
 2.74200000e-08  0.00000000e+00  0.00000000e+00 
 2.89200000e-08  0.00000000e+00  0.00000000e+00 
 3.04200000e-08  0.00000000e+00  0.00000000e+00 
 3.19200000e-08  0.00000000e+00  0.00000000e+00 
 3.34200000e-08  0.00000000e+00  0.00000000e+00 
 3.49200000e-08  0.00000000e+00  0.00000000e+00 
 3.64200000e-08  0.00000000e+00  0.00000000e+00 
 3.79200000e-08  0.00000000e+00  0.00000000e+00 
 3.94200000e-08  0.00000000e+00  0.00000000e+00 
 4.09200000e-08  0.00000000e+00  0.00000000e+00 
 4.24200000e-08  0.00000000e+00  0.00000000e+00 
 4.39200000e-08  0.00000000e+00  0.00000000e+00 
 4.54200000e-08  0.00000000e+00  0.00000000e+00 
 4.69200000e-08  0.00000000e+00  0.00000000e+00 
 4.84200000e-08  0.00000000e+00  0.00000000e+00 
 4.99200000e-08  0.00000000e+00  0.00000000e+00 
 5.14200000e-08  0.00000000e+00  0.00000000e+00 
 5.29200000e-08  0.00000000e+00  0.00000000e+00 
 5.44200000e-08  0.00000000e+00  0.00000000e+00 
 5.59200000e-08  0.00000000e+00  0.00000000e+00 
 5.74200000e-08  0.00000000e+00  0.00000000e+00 
 5.89200000e-08  0.00000000e+00  0.00000000e+00 
 6.04200000e-08  0.00000000e+00  0.00000000e+00 
 6.19200000e-08  0.00000000e+00  0.00000000e+00 
 6.34200000e-08  0.00000000e+00  0.00000000e+00 
 6.49200000e-08  0.00000000e+00  0.00000000e+00 
 6.64200000e-08  0.00000000e+00  0.00000000e+00 
 6.79200000e-08  0.00000000e+00  0.00000000e+00 
 6.94200000e-08  0.00000000e+00  0.00000000e+00 
 7.09200000e-08  0.00000000e+00  0.00000000e+00 
 7.24200000e-08  0.00000000e+00  0.00000000e+00 
 7.39200000e-08  0.00000000e+00  0.00000000e+00 
 7.54200000e-08  0.00000000e+00  0.00000000e+00 
 7.69200000e-08  0.00000000e+00  0.00000000e+00 
 7.84200000e-08  0.00000000e+00  0.00000000e+00 
 7.99200000e-08  0.00000000e+00  0.00000000e+00 
 8.14200000e-08  0.00000000e+00  0.00000000e+00 
 8.29200000e-08  0.00000000e+00  0.00000000e+00 
 8.44200000e-08  0.00000000e+00  0.00000000e+00 
 8.59200000e-08  0.00000000e+00  0.00000000e+00 
 8.74200000e-08  0.00000000e+00  0.00000000e+00 
 8.89200000e-08  0.00000000e+00  0.00000000e+00 
 9.04200000e-08  0.00000000e+00  0.00000000e+00 
 9.19200000e-08  0.00000000e+00  0.00000000e+00 
 9.34200000e-08  0.00000000e+00  0.00000000e+00 
 9.49200000e-08  0.00000000e+00  0.00000000e+00 
 9.64200000e-08  0.00000000e+00  0.00000000e+00 
 9.79200000e-08  0.00000000e+00  0.00000000e+00 
 9.94200000e-08  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  0.00000000e+00  0.00000000e+00 
 1.00001000e-07 -1.00000000e-01 -8.33306430e-02 
 1.00003000e-07 -3.00000000e-01 -2.49991682e-01 
 1.00007000e-07 -7.00000000e-01 -5.83315179e-01 
